variant,price,Body Type,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Turbo Charger,Transmission Type,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Top Speed,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Wheel Base,Front Tread,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Height Adjustable Driver Seat,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Parking Sensors,Foldable Rear Seat,KeyLess Entry,USB Charger,Gear Shift Indicator,Luggage Hook & Net,Additional Features,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Digital Odometer,Dual Tone Dashboard,Digital Cluster,Digital Cluster Size,Upholstery,Rear Window Wiper,Rear Window Washer,Rear Window Defogger,Wheel Covers,Alloy Wheels,Rear Spoiler,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Halogen Headlamps,Roof Rails,Fog Lights,Boot Opening,Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Taillights,Anti-lock Braking System (ABS),Central Locking,Child Safety Locks,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Door Ajar Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Speed Alert,Pretensioners & Force Limiter Seatbelts,Hill Assist,Radio,Integrated 2DIN Audio,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Internal Storage,Usb Ports,Speakers,Android Auto,Apple CarPlay,No. of Speakers,Adjustable Steering,Rear Seat Headrest,Connectivity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Antenna,Tweeters,front_seat_comfort_score,rear_seat_comfort_score,under_thigh_support_score,rear_seat_recline_score,gear_lever_feel_score,bump_absorption_score,cabin_noise_insulation_score,suspension_feel_score,body_roll_control_score,small_storage_score,steering_feedback_score,throttle_response_score,clutch_feel_score,brake_response_score,material_quality_score,instrument_cluster_readability_score,infotainment_responsiveness_score,sound_system_quality_score,Automatic Climate Control,Engine Start/Stop Button,Central Console Armrest,Tailgate Ajar Warning,Drive Modes,Idle Start-Stop System,Drive Mode Types,Power Windows,Cup Holders,Adjustable Headlamps,Projector Headlamps,Outside Rear View Mirror (ORVM),LED Headlamps,ISOFIX Child Seat Mounts,Wireless Phone Charging,SOS Button,RSA,Over Speeding Alert,Remote Door Lock/Unlock,Remote Vehicle Ignition Start/Stop,Geo-fence Alert,Rear Touchscreen,Bharat NCAP Safety Rating,Bharat NCAP Child Safety Rating,Petrol Highway Mileage,0-100Kmph (Tested),Speed Sensing Auto Door Lock,Xenon Headlamps,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Electric Adjustable Seats,Air Quality Control,Lumbar Support,Cruise Control,Hands-Free Tailgate,Glove Box light,Automatic Headlamps,Follow Me Home Headlamps,Rain Sensing Wiper,Sunroof,Heated Outside Rear View Mirror,Puddle Lamps,LED Fog Lamps,Anti-Theft Alarm,Traction Control,Anti-Theft Device,Anti-Pinch Power Windows,Hill Descent Control,Blind Spot Monitor,Battery Capacity,Motor Power,Motor Type,Range,Range - Tested,Battery Type,Charging Time (D.C),Charging Port,Charger Type,Charging Time (15 A Plug Point),Acceleration 0-60kmph,Braking (100-0kmph),City driveability (20-80kmph),Braking (80-0 kmph),Chrome Grille,Chrome Garnish,E-Call & I-Call,Running Cost,Shock Absorbers Type,Ground Clearance Unladen,Rear Tread,Voice Commands,Paddle Shifters,Brake Assist,Lane Keep Assist,Road Departure Mitigation System,Adaptive Cruise Control,Leading Vehicle Departure Alert,Adaptive High Beam Assist,Google / Alexa Connectivity,Smartwatch App,Smart Access Card Entry,Rear Curtain,Rear Window Sunblind,Leather wrap gear-shift selector,Acoustic Vehicle Alert System,Blind Spot Camera,Impact Sensing Auto Door Unlock,Forward Collision Warning,Lane Change Indicator,USB & Auxiliary input,Lane Departure Warning,Steering Gear Type,360 View Camera,Fuel Supply System,Reported Boot Space,Ventilated Seats,Height Adjustable Front Seat Belts,Cooled Glovebox,Voice assisted sunroof,Inbuilt Apps,Blind Spot Collision Avoidance Assist,Driver Attention Warning,Rear Cross Traffic Alert,Rear Cross Traffic Collision-Avoidance Assist,Remote Immobiliser,Remote Vehicle Status Check,Digital Car Key,Over the Air (OTA) Updates,Subwoofer,Rear Windscreen Sunblind,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Fuel Tank Capacity (Litres),Charging Time (A.C),Regenerative Braking,Regenerative Braking Levels,Charging Options,Charging Time (50 kW DC Fast Charger),Acceleration 0-100kmph,Charging,58Min-50kW(10-80%),Real-Time Vehicle Tracking,Battery Saver,Vehicle to Load Charging,Folding Table in The Rear,Automatic Emergency Braking,Live Location,Inbuilt Assistant,Hinglish Voice Commands,Send POI to Vehicle From App,Live Weather,Save Route/Place,SOS / Emergency Assistance,Inbuilt APPs,Valve Configuration,Knee Airbags,Fog Lights - Front,Fog Lights - Rear,Power Antenna,Oncoming Lane Mitigation,Speed Assist System,Traffic Sign Recognition,Lane Departure Prevention Assist,Autonomous Parking,Active noise cancellation,Ambient  Light Colour (numbers),Remote Boot Open,Diesel Highway Mileage,Cornering Headlamps,Cornering Foglamps,Navigation with Live Traffic,Lighting,Tow Away Alert,Trunk Opener,Sun Roof,Heads-Up Display (HUD),Unauthorised Vehicle entry,Valet Mode,Remote AC On/Off,Side Stepper,Remote Fuel Lid Opener,Rear Entertainment System,Rear Touch Screen size,Heated Seats,Roof Carrier,Engine Start Alarm,Cigarette Lighter,Headlamp Washers,Tinted Glass,Smoke Headlamps,20Min with 140 kW DC,20Min with 180 kW DC,Low Fuel Warning Light,Fabric Upholstery,Digital Clock,Ground Clearance (Laden),MirrorLink,Wi-Fi Connectivity,PUC Expiry,Insurance Expiry,E-Manual,Crash Notification,In Car Remote Control App,CNG Highway Mileage,Emission Control System,Approach Angle,Departure Angle,Break-over Angle,Convertible Top,Battery Warranty,Charging Time (7.2 kW AC Fast Charger),6H 30 Min-AC-7.2 kW (0-100%),Electronic Multi-Tripmeter,Leather Seats,Unnamed: 79,Unnamed: 195,Petrol Mileage (ARAI),Acceleration,0-100kmph,Braking (60-0 kmph),3.3KW 7H (0-100%),7.5KW 3.5H(0-100%),55 Min-DC-50kW (0-80%),9H | AC 7.4 kW (0-100%),Wireless Charging,Electric Fuel Tank Capacity,Boot Space Rear Seat Folding,Own Your Dream with the All-New Skoda Kylaq,40Min-60kW-(10-80%),Vechicle to Vehicle Charging,40Min-70kW-(10-80%),56 Min-50 kW(10-80%),Audio System Remote Control,Compass,2.6H-AC-7.2 kW (10-100%),3.6H-AC-7.2 kW (10-100%),Power Door Locks,Passenger Side Rear View Mirror,Rear Seat Belts,Adjustable Seats,Crash Sensor,Engine Check Warning,EBD,59 min| DC-18 kW(10-80%),59min | DC-18 kW(10-80%),Navigation System,Dual Tone Body Colour
Kia Seltos HTX IVT,"Rs.17,20,900",SUV,SmartStream G1.5,1497 cc,113.42bhp@6300rpm,144Nm@4500rpm,4,4,no,Automatic,IVT,2WD,Petrol,17.7 kmpl,50 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,no,yes,"Auto Light Control,Crown Jewel LED Headlamps with Star Map LED Sweeping Light Guide,Chrome Outside Door Handle,Silver Roof Rack,Front & Rear Mud Guard,Sequential LED Turn Indicators,Glossy Black Radiator Grille with Knurled Chrome Surround,Chrome Beltline Garnish,Metal Scuff Plates with Seltos Logo,Grey Front & Rear Skid Plates",yes,yes,yes,,,yes,4.2,Leatherette,yes,yes,yes,no,yes,no,yes,yes,no,yes,Front,Electronic,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,10.25 inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Eco-Normal-Sport,Front & Rear,Front & Rear,yes,no,Powered & Folding,yes,yes,no,,,yes,yes,,,,,,,,yes,,,,,,no,yes,,yes,,,,yes,no,Panoramic,,,yes,,yes,,Driver's Window,,no,,,,,,,,,,,,,,,,,yes,,,,,yes,yes,yes,no,,no,no,no,yes,yes,,,yes,yes,,,yes,no,,,no,,no,MPi,,no,yes,,,Amazon Alexa,no,no,no,no,yes,yes,,yes,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,no,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTX (O) iVT,"Rs.18,06,900",SUV,SmartStream G1.5,1497 cc,113.42bhp@6300rpm,144Nm@4500rpm,4,4,no,Automatic,IVT,2WD,Petrol,17.7 kmpl,50 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,no,yes,"Auto Light Control,Crown Jewel LED Headlamps with Star Map LED Sweeping Light Guide,Chrome Outside Door Handle,Silver Roof Rack,Front & Rear Mud Guard,Sequential LED Turn Indicators,Glossy Black Radiator Grille with Knurled Chrome Surround,Chrome Beltline Garnish,Metal Scuff Plates with Seltos Logo,Grey Front & Rear Skid Plates",yes,yes,yes,,,yes,4.2,Leatherette,yes,yes,yes,no,yes,no,yes,yes,no,yes,Front,Electronic,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,10.25 inch,,yes,Front & Rear,yes,yes,4,,,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Eco-Normal-Sport,Front & Rear,Front & Rear,yes,no,Powered & Folding,yes,yes,no,,,yes,yes,,,,,,,,yes,,,,,,no,yes,,yes,,,,yes,no,Panoramic,,,yes,,yes,,Driver's Window,,no,,,,,,,,,,,,,,,,,yes,,,,,yes,yes,yes,no,,no,no,no,yes,yes,,,yes,yes,,,yes,no,,,no,,no,MPi,,no,yes,,,Amazon Alexa,no,no,no,no,yes,yes,,yes,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,no,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos GTX Plus Turbo DCT,"Rs.19,99,900",SUV,SmartStream G1.5 T-GDi,1482 cc,157.81bhp@5500rpm,253Nm@1500-3500rpm,4,4,yes Yes,Automatic,7-Speed DCT,2WD,Petrol,17.9 kmpl,50 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,no,yes,BOSE Premium Sound system with 8 Speakers,yes,yes,yes,,,yes,10.25,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,no,yes,Front,Electronic,215/55 R18,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,10.25 inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",18 Inch,18 Inch,Shark Fin,4,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Eco-Normal-Sport,Front & Rear,Front & Rear,yes,no,Powered & Folding,yes,yes,yes,,,yes,yes,,,,,,,,yes,,,,,,Front,yes,,yes,,,,yes,yes,Panoramic,,,yes,,yes,,Driver's Window,,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,,yes,yes,,,yes,yes,,,yes,,yes,GDi,,yes,yes,,,Amazon Alexa,yes,yes,yes,yes,yes,yes,,yes,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,no,,,,,,,yes,,,,,no,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos X-Line Turbo DCT,"Rs.20,50,900",SUV,Smartstream G1.5 T-GDi,1482 cc,157.81bhp@5500rpm,253Nm@1500-3500rpm,4,4,yes Yes,Automatic,7-Speed DCT,2WD,Petrol,17.9 kmpl,50 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,no,yes,BOSE Premium Sound system with 8 Speakers,yes,yes,yes,,,yes,10.25,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,no,yes,Front,Electronic,215/55 R18,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,10.25 inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",18 Inch,18 Inch,Shark Fin,4,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,3,yes,Eco-Normal-Sport,Front & Rear,Front & Rear,yes,no,Powered & Folding,yes,yes,yes,,,,yes,,,,,,,,yes,,,,,,Front,yes,,yes,,,,yes,yes,Panoramic,,,yes,,yes,,Driver's Window,,yes,,,,,,,,,,,,,,,,,yes,,,,,yes,yes,yes,yes,,yes,yes,yes,yes,yes,,,yes,yes,,,yes,yes,,,yes,,yes,GDi,,yes,yes,,,Amazon Alexa,yes,yes,yes,yes,yes,yes,,yes,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTE (O) Diesel,"Rs.12,70,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Manual,6-Speed,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,Rear,Bench Folding,yes,Front & Rear,yes,yes,Grey Front & Rear Skid Plates,yes,no,yes,,,yes,4.2,Fabric,no,no,no,yes,no,no,no,yes,yes,yes,no,Manual,205/65 R16,Radial Tubeless,16 Inch,no,no,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Driver and Passenger,yes,no,,no,no,inch,,no,no,no,no,,,,,,,Shark Fin,,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,2,2,no,no,no,yes,no,yes,no,Front & Rear,,yes,yes,Manual,no,no,no,,,yes,no,,,,,,,,yes,,,,20.7 kmpl,50 Litres,no,no,,no,,,,yes,no,no,,,no,,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,no,no,yes,no,,no,no,no,no,no,,,yes,no,,,yes,no,,,no,,no,CRDi,,no,yes,,,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,,,no,,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTK Diesel,"Rs.13,90,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Manual,6-Speed,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Front & Rear,Bench Folding,yes,Front & Rear,yes,yes,Wireless Android Auto & Apple Carplay,yes,no,yes,,,yes,4.2,Fabric,no,no,no,yes,no,no,yes,yes,yes,yes,no,Electronic,205/65 R16,Radial Tubeless,16 Inch,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,8 inch,,yes,Front & Rear,yes,yes,4,yes,,,,,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,no,yes,no,yes,no,yes,no,Front & Rear,,yes,yes,Powered,no,no,no,,,yes,no,,,,,,,,yes,,,,20.7 kmpl,50 Litres,no,no,,no,,,,yes,no,no,,,no,,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,no,no,yes,no,,no,no,no,no,no,,,yes,no,,,yes,no,,,no,,no,CRDi,,no,yes,,,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,,,no,,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTK (O) Diesel,"Rs.14,50,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Manual,6-Speed,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Front & Rear,Bench Folding,yes,Front & Rear,yes,yes,Wireless Android Auto & Apple Carplay,yes,no,yes,,,yes,4.2,Fabric,no,no,no,no,yes,no,yes,yes,yes,yes,no,Electronic,205/65 R16,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,8 inch,,yes,Front & Rear,yes,yes,4,,,,16 Inch,16 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,no,yes,no,yes,no,yes,no,Front & Rear,,yes,yes,Powered,no,no,no,,,yes,no,,,,,,,,yes,,,,20.7 kmpl,50 Litres,no,no,,no,,,,yes,no,Panoramic,,,no,,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,no,no,yes,no,,no,no,no,no,no,,,yes,no,,,yes,no,,,no,,no,CRDi,,no,yes,,,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,,,no,,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTK Plus (O) Diesel,"Rs.15,90,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Manual,6-Speed,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Front & Rear,Bench Folding,yes,Front & Rear,yes,yes,Wireless Android Auto & Apple Carplay,yes,yes,yes,,,yes,4.2,Fabric,yes,yes,yes,no,yes,no,yes,yes,yes,yes,Front,Electronic,215/ 60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,8 inch,,yes,Front & Rear,yes,yes,4,,,,17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,yes,yes,no,yes,no,yes,no,Front & Rear,,yes,yes,Powered,no,no,no,,,yes,no,,,,,,,,yes,,,,20.7 kmpl,50 Litres,no,no,,yes,,,,yes,no,Panoramic,,,no,,no,,Driver's Window,,,,,,,,,,,,,,,,,,,no,,,,,no,no,yes,no,,no,no,no,no,no,,,yes,yes,,,yes,no,,,no,,no,CRDi,,no,yes,,,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,,,no,,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTK Plus (O) Diesel AT,"Rs.17,16,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Automatic,6-Speed AT,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,Front & Rear,Bench Folding,yes,Front & Rear,no,yes,Wireless Android Auto & Apple Carplay,yes,yes,yes,,,yes,4.2,Fabric,yes,yes,yes,no,yes,no,yes,yes,yes,yes,Front,Electronic,215/ 60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,8 inch,,yes,Front & Rear,yes,yes,4,,,,17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,3,3,3,2,yes,yes,no,yes,3,yes,Eco-Normal-Sport,Front & Rear,,yes,yes,Powered,no,no,no,,,yes,no,,,,,,,,yes,,,,20.7 kmpl,50 Litres,no,no,,yes,,,,yes,no,Panoramic,,,no,,yes,,Driver's Window,,,,,,,,,,,,,,,,,,,no,,,,,no,no,yes,no,,no,no,no,no,no,,,yes,yes,,,yes,no,,,no,,no,CRDi,,no,yes,,,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,,,no,,,,,no,,,no,no,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia Seltos HTX Diesel,"Rs.17,27,900",SUV,1.5 T-GRDi VGT,1493 cc,114.41bhp@4000rpm,250Nm@1500-2750rpm,4,4,yes Yes,Manual,6-Speed,2WD,Diesel,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt & Telescopic,,Disc,Disc,4365 mm,1800 mm,1645 mm,433 Litres,5,2610 mm,,,,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,yes,yes,"Auto Light Control,Crown Jewel LED Headlamps with Star Map LED Sweeping Light Guide,Chrome Outside Door Handle,Silver Roof Rack,Front & Rear Mud Guard,Sequential LED Turn Indicators,Glossy Black Radiator Grille with Knurled Chrome Surround,Chrome Beltline Garnish,Metal Scuff Plates with Seltos Logo,Grey Front & Rear Skid Plates",yes,yes,yes,,,yes,4.2,Leatherette,yes,yes,yes,no,yes,no,yes,yes,no,yes,Front,Electronic,215/60 R17,Radial Tubeless,,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,,yes,yes,10.25 inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",17 Inch,17 Inch,Shark Fin,2,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,2,yes,yes,With Storage,yes,no,yes,no,Front & Rear,Front & Rear,yes,no,Powered & Folding,yes,yes,no,,,yes,yes,,,,,,,,yes,,,,17 kmpl,50 Litres,no,yes,,yes,,,,yes,no,Panoramic,,,yes,,no,,Driver's Window,,no,,,,,,,,,,,,,,,,,yes,,,,,yes,no,yes,no,,no,no,no,yes,yes,,,yes,yes,,,yes,no,,,no,,no,CRDi,,no,yes,,,Amazon Alexa,no,no,no,no,yes,yes,,yes,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,no,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
